signal_date,holding_days,event_type,classification_reason,future_index_return,future_abs_return,future_gap_return_next_open,future_rv_5d,signal_rv20,rv_expansion_ratio,call_leg_pnl,put_leg_pnl,straddle_return,iv_change
2024-07-29,3,trend_vol_expansion,future RV expanded versus signal RV20,0.0411135011765826,0.0411135011765826,-0.0022881158086707,0.3964410396356188,0.2153289511819293,1.8410949268994008,127.0,-110.6,0.0690225913235379,
2024-07-29,5,trend_vol_expansion,future RV expanded versus signal RV20,-0.0014662653644512,0.0014662653644512,-0.0022881158086707,0.3964410396356188,0.2153289511819293,1.8410949268994008,25.0,-21.39999999999999,0.0073852527247033,
2024-07-30,1,up_shock,positive future return with dominant call leg,0.0396788179134151,0.0396788179134151,-0.0007989807275351,0.4116671231508099,0.2140529366381934,1.923202407854078,146.6,-83.6,0.3207662641194874,
2024-07-30,3,trend_vol_expansion,future RV expanded versus signal RV20,0.0228384681362736,0.0228384681362736,-0.0007989807275351,0.4116671231508099,0.2140529366381934,1.923202407854078,69.0,-63.8,0.0173469872271729,
2024-07-30,5,trend_vol_expansion,future RV expanded versus signal RV20,0.0100915017090728,0.0100915017090728,-0.0007989807275351,0.4116671231508099,0.2140529366381934,1.923202407854078,28.0,-40.599999999999994,-0.07609355133136,
2024-07-31,1,noise_theta_decay,muted realized move or negative straddle return,-0.0022073065801513,0.0022073065801513,0.001171610851095,0.2528657854920422,0.256579474962211,0.9855261631090493,-22.599999999999994,21.400000000000006,-0.0164352907949333,
2024-07-31,3,down_shock,negative future return with dominant put leg,-0.0430153259691541,0.0430153259691541,0.001171610851095,0.2528657854920422,0.256579474962211,0.9855261631090493,-67.19999999999999,165.4,0.520742358078603,
2024-07-31,5,down_shock,negative future return with dominant put leg,-0.0297951105613782,0.0297951105613782,0.001171610851095,0.2528657854920422,0.256579474962211,0.9855261631090493,-75.39999999999999,110.20000000000002,0.1781159703665083,
2024-08-01,1,noise_theta_decay,default muted/noise bucket,-0.014021289021622,0.014021289021622,-0.0068694987115358,0.254375826578597,0.2555266269891432,0.995496358152158,-10.199999999999996,12.399999999999977,0.0010725723608676,
2024-08-01,3,down_shock,negative future return with dominant put leg,-0.0263088964183957,0.0263088964183957,-0.0068694987115358,0.254375826578597,0.2555266269891432,0.995496358152158,-28.599999999999998,54.79999999999998,0.1213215300018127,
2024-08-01,5,trend_vol_expansion,large future move without single-leg shock dominance,-0.0284517173951768,0.0284517173951768,-0.0068694987115358,0.254375826578597,0.2555266269891432,0.995496358152158,-40.8,41.39999999999998,-0.0069440248151953,
2024-08-02,1,down_shock,negative future return with dominant put leg,-0.027259214770669,0.027259214770669,-0.0070079578342046,0.2450833131964423,0.2589250892200734,0.9465413874517726,-19.0,72.80000000000001,0.2944193319118695,
2024-08-02,3,noise_theta_decay,muted realized move or negative straddle return,-0.0138213373776123,0.0138213373776123,-0.0070079578342046,0.2450833131964423,0.2589250892200734,0.9465413874517726,-28.0,14.599999999999994,-0.0857597725657425,
2024-08-02,5,noise_theta_decay,muted realized move or negative straddle return,-0.0222757318874567,0.0222757318874567,-0.0070079578342046,0.2450833131964423,0.2589250892200734,0.9465413874517726,-49.2,26.599999999999994,-0.1378081023454156,
